Title,Abstract,Authors,Last Author,Published Date
Perfect Recovery Conditions For Non-Negative Sparse Modeling,"  Sparse modeling has been widely and successfully used in many applications
such as computer vision, machine learning, and pattern recognition. Accompanied
with those applications, significant research has studied the theoretical
limits and algorithm design for convex relaxations in sparse modeling. However,
theoretical analyses on non-negative versions of sparse modeling are limited in
the literature either to a noiseless setting or a scenario with a specific
statistical noise model such as Gaussian noise. This paper studies the
performance of non-negative sparse modeling in a more general scenario where
the observed signals have an unknown arbitrary distortion, especially focusing
on non-negativity constrained and L1-penalized least squares, and gives an
exact bound for which this problem can recover the correct signal elements. We
pose two conditions to guarantee the correct signal recovery: minimum
coefficient condition (MCC) and nonlinearity vs. subset coherence condition
(NSCC). The former defines the minimum weight for each of the correct atoms
present in the signal and the latter defines the tolerable deviation from the
linear model relative to the positive subset coherence (PSC), a novel type of
""coherence"" metric. We provide rigorous performance guarantees based on these
conditions and experimentally verify their precise predictive power in a
hyperspectral data unmixing application.
","Yuki Itoh, Marco F. Duarte, Mario Parente",Mario Parente,2015-12-09T03:51:19Z
"Dissecting the molecular structure of the Orion B cloud: Insight from
  Principal Component Analysis","  Context. The combination of wideband receivers and spectrometers currently
available in (sub-)millimeter observatories deliver wide- field hyperspectral
imaging of the interstellar medium. Tens of spectral lines can be observed over
degree wide fields in about fifty hours. This wealth of data calls for
restating the physical questions about the interstellar medium in statistical
terms. Aims. We aim at gaining information on the physical structure of the
interstellar medium from a statistical analysis of many lines from different
species over a large field of view, without requiring detailed radiative
transfer or astrochemical modeling. Methods. We coupled a nonlinear rescaling
of the data with one of the simplest multivariate analysis methods, namely the
Principal Component Analysis, to decompose the observed signal into components
that we interpret first qualitatively and then quantitatively based on our deep
knowledge of the observed region and of the astrochemistry at play. Results. We
identify 3 principal components, linear compositions of line brightness
temperatures, that are correlated at various levels with the column density,
the volume density and the UV radiation field. Conclusions. When sampling a
sufficiently diverse mixture of physical parameters, it is possible to
decompose the molecular emission in order to gain physical insight on the
observed interstellar medium. This opens a new avenue for future studies of the
interstellar medium.
","Pierre Gratier, Emeric Bron, Maryvonne Gerin, Jérôme Pety, Viviana V. Guzman, Jan Orkisz, Sébastien Bardeau, Javier R. Goicoechea, Franck Le Petit, Harvey Liszt, Karin Öberg, Nicolas Peretto, Evelyne Roueff, Albrech Sievers, Pascal Tremblin",Pascal Tremblin,2017-01-16T09:03:04Z
Learned Spectral Super-Resolution,"  We describe a novel method for blind, single-image spectral super-resolution.
While conventional super-resolution aims to increase the spatial resolution of
an input image, our goal is to spectrally enhance the input, i.e., generate an
image with the same spatial resolution, but a greatly increased number of
narrow (hyper-spectral) wave-length bands. Just like the spatial statistics of
natural images has rich structure, which one can exploit as prior to predict
high-frequency content from a low resolution image, the same is also true in
the spectral domain: the materials and lighting conditions of the observed
world induce structure in the spectrum of wavelengths observed at a given
pixel. Surprisingly, very little work exists that attempts to use this
diagnosis and achieve blind spectral super-resolution from single images. We
start from the conjecture that, just like in the spatial domain, we can learn
the statistics of natural image spectra, and with its help generate finely
resolved hyper-spectral images from RGB input. Technically, we follow the
current best practice and implement a convolutional neural network (CNN), which
is trained to carry out the end-to-end mapping from an entire RGB image to the
corresponding hyperspectral image of equal size. We demonstrate spectral
super-resolution both for conventional RGB images and for multi-spectral
satellite data, outperforming the state-of-the-art.
","Silvano Galliani, Charis Lanaras, Dimitrios Marmanis, Emmanuel Baltsavias, Konrad Schindler",Konrad Schindler,2017-03-28T09:17:38Z
Simplified Energy Landscape for Modularity Using Total Variation,"  Networks capture pairwise interactions between entities and are frequently
used in applications such as social networks, food networks, and protein
interaction networks, to name a few. Communities, cohesive groups of nodes,
often form in these applications, and identifying them gives insight into the
overall organization of the network. One common quality function used to
identify community structure is modularity. In Hu et al. [SIAM J. App. Math.,
73(6), 2013], it was shown that modularity optimization is equivalent to
minimizing a particular nonconvex total variation (TV) based functional over a
discrete domain. They solve this problem, assuming the number of communities is
known, using a Merriman, Bence, Osher (MBO) scheme.
  We show that modularity optimization is equivalent to minimizing a convex
TV-based functional over a discrete domain, again, assuming the number of
communities is known. Furthermore, we show that modularity has no convex
relaxation satisfying certain natural conditions. We therefore, find a
manageable non-convex approximation using a Ginzburg Landau functional, which
provably converges to the correct energy in the limit of a certain parameter.
We then derive an MBO algorithm with fewer hand-tuned parameters than in Hu et
al. and which is 7 times faster at solving the associated diffusion equation
due to the fact that the underlying discretization is unconditionally stable.
Our numerical tests include a hyperspectral video whose associated graph has
2.9x10^7 edges, which is roughly 37 times larger than was handled in the paper
of Hu et al.
","Zachary Boyd, Egil Bae, Xue-Cheng Tai, Andrea L. Bertozzi",Andrea L. Bertozzi,2017-07-28T15:39:03Z
Unmixing dynamic PET images with variable specific binding kinetics,"  To analyze dynamic positron emission tomography (PET) images, various generic
multivariate data analysis techniques have been considered in the literature,
such as principal component analysis (PCA), independent component analysis
(ICA), factor analysis and nonnegative matrix factorization (NMF).
Nevertheless, these conventional approaches neglect any possible nonlinear
variations in the time activity curves describing the kinetic behavior of
tissues with specific binding, which limits their ability to recover a
reliable, understandable and interpretable description of the data. This paper
proposes an alternative analysis paradigm that accounts for spatial
fluctuations in the exchange rate of the tracer between a free compartment and
a specifically bound ligand compartment. The method relies on the concept of
linear unmixing, usually applied on the hyperspectral domain, which combines
NMF with a sum-to-one constraint that ensures an exhaustive description of the
mixtures. The spatial variability of the signature corresponding to the
specific binding tissue is explicitly modeled through a perturbed component.
The performance of the method is assessed on both synthetic and real data and
is shown to compete favorably when compared to other conventional analysis
methods. The proposed method improved both factor estimation and proportions
extraction for specific binding. Modeling the variability of the specific
binding factor has a strong potential impact for dynamic PET image analysis.
","Yanna Cruz Cavalcanti, Thomas Oberlin, Nicolas Dobigeon, Simon Stute, Maria Ribeiro, Clovis Tauber",Clovis Tauber,2017-07-19T12:17:57Z
"Selective excitation and imaging of ultraslow phonon polaritons in thin
  hexagonal boron nitride crystals","  Polaritons in 2D and van der Waals (vdW) materials have been investigated in
several recent works as an innovative platform for light-matter interaction,
rich of new physical phenomena.Hexagonal Boron Nitride (h-BN), in particular,
is an out of plane anisotropic material (while it is in-plane isotropic) with
two very strong phonon polaritons bands where the permittivity becomes
negative. In the first restrahlen band (RS1, 780-830 cm-1) the relative out of
plane permittivity is negative, while in the second restrahlen band (RS2,
1370-1610 cm-1) the relative in-plane permittivity is negative. Due to these
optical properties, thin h-BN flakes support guided modes which have been
observed experimentally both via far field and near field methods. In this
work, we show how selectively excite the more confined modes in the RS1 and RS2
bands. The supported guided modes have phase and group velocities respectively
tens and hundreds of times slower than the speed of light. We also show the
possibility of full hyperspectral nano-imaging of modes in RS1 band by means of
photo-induced force microscopy (PiFM). Moreover, a direct comparison of (PiFM)
and scattering-type near-field microscopy (s-SNOM) is obtained by imaging the
modes of the RS2 band with both techniques implemented on the same platform.
The possibility of addressing ultraslow (ultraconfined) polaritonic modes of
h-BN crystal flakes together with the possibility of optical nano-imaging in
both the restrahlen bands have many innovative aspects that can lead to
unprecedented schemes for strong light-matter interaction, slow and confined
light.
","Antonio Ambrosio, Michele Tamagnone, Kundan Chaudhary, Luis A. Jauregui, Philip Kim, William L. Wilson, Federico Capasso",Federico Capasso,2017-11-12T17:32:51Z
Small Drone Field Experiment: Data Collection & Processing,"  Following an initiative formalized in April 2016 formally known as ARL West
between the U.S. Army Research Laboratory (ARL) and University of Southern
California's Institute for Creative Technologies (USC ICT), a field experiment
was coordinated and executed in the summer of 2016 by ARL, USC ICT, and
Headwall Photonics. The purpose was to image part of the USC main campus in Los
Angeles, USA, using two portable COTS (commercial off the shelf) aerial drone
solutions for data acquisition, for photogrammetry (3D reconstruction from
images), and fusion of hyperspectral data with the recovered set of 3D point
clouds representing the target area. The research aims for determining the
viability of having a machine capable of segmenting the target area into key
material classes (e.g., manmade structures, live vegetation, water) for use in
multiple purposes, to include providing the user with a more accurate scene
understanding and enabling the unsupervised automatic sampling of meaningful
material classes from the target area for adaptive semi-supervised machine
learning. In the latter, a target set library may be used for automatic machine
training with data of local material classes, as an example, to increase the
prediction chances of machines recognizing targets. The field experiment and
associated data post processing approach to correct for reflectance,
geo-rectify, recover the area's dense point clouds from images, register
spectral with elevation properties of scene surfaces from the independently
collected datasets, and generate the desired scene segmented maps are
discussed. Lessons learned from the experience are also highlighted throughout
the paper.
","Dalton Rosario, Christoph Borel, Damon Conover, Ryan McAlinden, Anthony Ortiz, Sarah Shiver, Blair Simon",Blair Simon,2017-11-29T06:08:16Z
Constrained Manifold Learning for Hyperspectral Imagery Visualization,"  Displaying the large number of bands in a hyper- spectral image (HSI) on a
trichromatic monitor is important for HSI processing and analysis system. The
visualized image shall convey as much information as possible from the original
HSI and meanwhile facilitate image interpretation. However, most existing
methods display HSIs in false color, which contradicts with user experience and
expectation. In this paper, we propose a visualization approach based on
constrained manifold learning, whose goal is to learn a visualized image that
not only preserves the manifold structure of the HSI but also has natural
colors. Manifold learning preserves the image structure by forcing pixels with
similar signatures to be displayed with similar colors. A composite kernel is
applied in manifold learning to incorporate both the spatial and spectral
information of HSI in the embedded space. The colors of the output image are
constrained by a corresponding natural-looking RGB image, which can either be
generated from the HSI itself (e.g., band selection from the visible
wavelength) or be captured by a separate device. Our method can be done at
instance-level and feature-level. Instance-level learning directly obtains the
RGB coordinates for the pixels in the HSI while feature-level learning learns
an explicit mapping function from the high dimensional spectral space to the
RGB space. Experimental results demonstrate the advantage of the proposed
method in information preservation and natural color visualization.
","Danping Liao, Yuntao Qian, Yuan Yan Tang",Yuan Yan Tang,2017-11-24T07:04:04Z
Sketch Layer Separation in Multi-Spectral Historical Document Images,"  High-resolution imaging has delivered new prospects for detecting the
material composition and structure of cultural treasures. Despite the various
techniques for analysis, a significant diagnostic gap remained in the range of
available research capabilities for works on paper. Old master drawings were
mostly composed in a multi-step manner with various materials. This resulted in
the overlapping of different layers which made the subjacent strata difficult
to differentiate. The separation of stratified layers using imaging methods
could provide insights into the artistic work processes and help answer
questions about the object, its attribution, or in identifying forgeries. The
pattern recognition procedure was tested with mock replicas to achieve the
separation and the capability of displaying concealed red chalk under ink. In
contrast to RGB-sensor based imaging, the multi- or hyperspectral technology
allows accurate layer separation by recording the characteristic signatures of
the material's reflectance. The risk of damage to the artworks as a result of
the examination can be reduced by using combinations of defined spectra for
lightning and image capturing. By guaranteeing the maximum level of
readability, our results suggest that the technique can be applied to a broader
range of objects and assist in diagnostic research into cultural treasures in
the future.
","AmirAbbas Davari, Armin Häberle, Vincent Christlein, Andreas Maier, Christian Riess",Christian Riess,2017-12-10T21:36:43Z
Compact Folded Metasurface Spectrometer,"  Recent advances in optical metasurfaces enable control of the wavefront,
polarization and dispersion of optical waves beyond the capabilities of
conventional diffractive optics. An optical design space that is poised to
highly benefit from these developments is the folded optics architecture where
light is confined between reflective surfaces and the wavefront is controlled
at the reflective interfaces. In this manuscript we introduce the concept of
folded metasurface optics by demonstrating a compact high resolution optical
spectrometer made from a 1-mm-thick glass slab with a volume of 7 cubic
millimeters. The spectrometer has a resolution of 1.2 nm, resolving more than
80 spectral points in a 100-nm bandwidth centered around 810 nm. The device is
composed of three different reflective dielectric metasurfaces, all fabricated
in a single lithographic step on one side of a transparent optical substrate,
which simultaneously acts as the propagation space for light. An image sensor,
parallel to the spectrometer substrate, can be directly integrated on top of it
to achieve a compact mono- lithic device including all the active and passive
components. Multiple spectrometers, with similar or different characteristics
and operation bandwidths may also be integrated on the same chip and fabricated
in a batch process, significantly reducing their costs and increas- ing their
functionalities and integration potential. In addition, the folded metasystems
design can be applied to many optical systems, such as optical signal
processors, interferometers, hyperspectral imagers and computational optical
systems, significantly reducing their sizes and increasing their mechanical
robustness and potential for integration.
","MohammadSadegh Faraji-Dana, Ehsan Arbabi, Amir Arbabi, Seyedeh Mahsa Kamali, Hyounghan Kwon, Andrei Faraon",Andrei Faraon,2018-07-29T00:27:39Z
Multilinear Compressive Learning,"  Compressive Learning is an emerging topic that combines signal acquisition
via compressive sensing and machine learning to perform inference tasks
directly on a small number of measurements. Many data modalities naturally have
a multi-dimensional or tensorial format, with each dimension or tensor mode
representing different features such as the spatial and temporal information in
video sequences or the spatial and spectral information in hyperspectral
images. However, in existing compressive learning frameworks, the compressive
sensing component utilizes either random or learned linear projection on the
vectorized signal to perform signal acquisition, thus discarding the
multi-dimensional structure of the signals. In this paper, we propose
Multilinear Compressive Learning, a framework that takes into account the
tensorial nature of multi-dimensional signals in the acquisition step and
builds the subsequent inference model on the structurally sensed measurements.
Our theoretical complexity analysis shows that the proposed framework is more
efficient compared to its vector-based counterpart in both memory and
computation requirement. With extensive experiments, we also empirically show
that our Multilinear Compressive Learning framework outperforms the
vector-based framework in object classification and face recognition tasks, and
scales favorably when the dimensionalities of the original signals increase,
making it highly efficient for high-dimensional multi-dimensional signals.
","Dat Thanh Tran, Mehmet Yamac, Aysen Degerli, Moncef Gabbouj, Alexandros Iosifidis",Alexandros Iosifidis,2019-05-17T21:04:44Z
Generalized Separable Nonnegative Matrix Factorization,"  Nonnegative matrix factorization (NMF) is a linear dimensionality technique
for nonnegative data with applications such as image analysis, text mining,
audio source separation and hyperspectral unmixing. Given a data matrix $M$ and
a factorization rank $r$, NMF looks for a nonnegative matrix $W$ with $r$
columns and a nonnegative matrix $H$ with $r$ rows such that $M \approx WH$.
NMF is NP-hard to solve in general. However, it can be computed efficiently
under the separability assumption which requires that the basis vectors appear
as data points, that is, that there exists an index set $\mathcal{K}$ such that
$W = M(:,\mathcal{K})$. In this paper, we generalize the separability
assumption: We only require that for each rank-one factor $W(:,k)H(k,:)$ for
$k=1,2,\dots,r$, either $W(:,k) = M(:,j)$ for some $j$ or $H(k,:) = M(i,:)$ for
some $i$. We refer to the corresponding problem as generalized separable NMF
(GS-NMF). We discuss some properties of GS-NMF and propose a convex
optimization model which we solve using a fast gradient method. We also propose
a heuristic algorithm inspired by the successive projection algorithm. To
verify the effectiveness of our methods, we compare them with several
state-of-the-art separable NMF algorithms on synthetic, document and image data
sets.
","Junjun Pan, Nicolas Gillis",Nicolas Gillis,2019-05-30T12:18:25Z
Near-Convex Archetypal Analysis,"  Nonnegative matrix factorization (NMF) is a widely used linear dimensionality
reduction technique for nonnegative data. NMF requires that each data point is
approximated by a convex combination of basis elements. Archetypal analysis
(AA), also referred to as convex NMF, is a well-known NMF variant imposing that
the basis elements are themselves convex combinations of the data points. AA
has the advantage to be more interpretable than NMF because the basis elements
are directly constructed from the data points. However, it usually suffers from
a high data fitting error because the basis elements are constrained to be
contained in the convex cone of the data points. In this letter, we introduce
near-convex archetypal analysis (NCAA) which combines the advantages of both AA
and NMF. As for AA, the basis vectors are required to be linear combinations of
the data points and hence are easily interpretable. As for NMF, the additional
flexibility in choosing the basis elements allows NCAA to have a low data
fitting error. We show that NCAA compares favorably with a state-of-the-art
minimum-volume NMF method on synthetic datasets and on a real-world
hyperspectral image.
","Pierre De Handschutter, Nicolas Gillis, Arnaud Vandaele, Xavier Siebert",Xavier Siebert,2019-10-02T08:16:14Z
"Spatially-resolved luminescence and crystal structure of single
  core-shell nanowires measured in the as-grown geometry","  We report on the direct correlation between the structural and optical
properties of single, as-grown core-multi-shell
GaAs/In$_{0.15}$Ga$_{0.85}$As/GaAs/AlAs/GaAs nanowires. Fabricated by molecular
beam epitaxy on a pre-patterned Si(111) substrate, on a row of well separated
nucleation sites, it was possible to access individual nanowires in the
as-grown geometry. The polytype distribution along the growth axis of the
nanowires was revealed by synchrotron-based nanoprobe X-ray diffraction
techniques monitoring the axial 111 Bragg reflection. For the same nanowires,
the spatially-resolved emission properties were obtained by cathodoluminescence
hyperspectral linescans in a scanning electron microscope. Correlating both
measurements, we reveal a blueshift of the shell quantum well emission energy
combined with an increased emission intensity for segments exhibiting a mixed
structure of alternating wurtzite and zincblende stacking compared with the
pure crystal polytypes. The presence of this mixed structure was independently
confirmed by cross-sectional transmission electron microscopy.
","Ali AlHassan, Jonas Lähnemann, Steven Leake, Hanno Küpers, Michael Niehle, Danial Bahrami, Florian Bertram, Ryan B. Lewis, Arman Davtyan, Tobias Schülli, Lutz Geelhaar, Ullrich Pietsch",Ullrich Pietsch,2020-02-19T13:32:28Z
"Photometrically-corrected global infrared mosaics of Enceladus: New
  implications for its spectral diversity and geological activity","  Between 2004 and 2017, spectral observations have been gathered by the Visual
and Infrared Mapping Spectrometer (VIMS) on-board Cassini (Brown et al., 2004)
during 23 Enceladus close encounters, in addition to more distant surveys. The
objective of the present study is to produce a global hyperspectral mosaic of
the complete VIMS data set of Enceladus in order to highlight spectral
variations among the different geological units. This requires the selection of
the best observations in terms of spatial resolution and illumination
conditions. We have carried out a detailed investigation of the photometric
behavior at several key wavelengths (1.35, 1.5, 1.65, 1.8, 2.0, 2.25, 2.55 and
3.6 ${\mu}$m), characteristics of the infrared spectra of water ice. We propose
a new photometric function, based on the model of Shkuratov et al. (2011). When
combined, corrected mosaics at different wavelengths reveal heterogeneous
areas, in particular in the terrains surrounding the Tiger Stripes on the South
Pole and in the northern hemisphere around 30{\deg}N, 90{\deg}W. Those areas
appear mainly correlated to tectonized units, indicating an endogenous origin,
potentially driven by seafloor hotspots.
","Rozenn Robinel, Stéphane Le Mouélic, Gabriel Tobie, Marion Massé, Benoît Seignovert, Christophe Sotin, Sébastien Rodriguez",Sébastien Rodriguez,2020-05-30T01:59:05Z
"Collective near-field coupling in infrared-phononic metasurfaces for
  nano-light canalization","  Polaritons, coupled excitations of photons and dipolar matter excitations,
can propagate along anisotropic metasurfaces with either hyperbolic or
elliptical dispersion. At the transition from hyperbolic to elliptical
dispersion (corresponding to a topological transition), various intriguing
phenomena are found, such as an enhancement of the photonic density of states,
polariton canalization and hyperlensing. Here we investigate theoretically and
experimentally the topological transition and the polaritonic coupling of
deeply subwavelength elements in a uniaxial infrared-phononic metasurface, a
grating of hexagonal boron nitride (hBN) nanoribbons. By hyperspectral infrared
nanoimaging, we observe, for the first time, a synthetic transverse optical
phonon resonance (that is, the strong collective near-field coupling of the
nanoribbons) in the middle of the hBN Reststrahlen band, yielding a topological
transition from hyperbolic to elliptical dispersion. We further visualize and
characterize the spatial evolution of a deeply subwavelength canalization mode
near the transition frequency, which is a collimated polariton that is the
basis for hyperlensing and diffraction-less propagation. Our results provide
fundamental insights into the role of polaritonic near-field coupling in
metasurfaces for creating topological transitions and polariton canalization.
","Peining Li, Guangwei Hu, Irene Dolado, Mykhailo Tymchenko, Cheng-Wei Qiu, Francisco Javier Alfaro-Mozaz, Felix Casanova, Luis E. Hueso, Song Liu, James H. Edgar, Saül Vélez, Andrea Alu, Rainer Hillenbrand",Rainer Hillenbrand,2020-06-02T10:16:34Z
"A universal smartphone add-on for portable spectroscopy and polarimetry:
  iSPEX 2","  Spectropolarimetry is a powerful technique for remote sensing of the
environment. It enables the retrieval of particle shape and size distributions
in air and water to an extent that traditional spectroscopy cannot. SPEX is an
instrument concept for spectropolarimetry through spectral modulation,
providing snapshot, and hence accurate, hyperspectral intensity and degree and
angle of linear polarization. Successful SPEX instruments have included
groundSPEX and SPEX airborne, which both measure aerosol optical thickness with
high precision, and soon SPEXone, which will fly on PACE. Here, we present a
low-cost variant for consumer cameras, iSPEX 2, with universal smartphone
support. Smartphones enable citizen science measurements which are
significantly more scaleable, in space and time, than professional instruments.
Universal smartphone support is achieved through a modular hardware design and
SPECTACLE data processing. iSPEX 2 will be manufactured through injection
molding and 3D printing. A smartphone app for data acquisition and processing
is in active development. Production, calibration, and validation will commence
in the summer of 2020. Scientific applications will include citizen science
measurements of aerosol optical thickness and surface water reflectance, as
well as low-cost laboratory and portable spectroscopy.
","Olivier Burggraaff, Armand B. Perduijn, Robert F. van Hek, Norbert Schmidt, Christoph U. Keller, Frans Snik",Frans Snik,2020-06-02T11:00:27Z
"X-ModalNet: A Semi-Supervised Deep Cross-Modal Network for
  Classification of Remote Sensing Data","  This paper addresses the problem of semi-supervised transfer learning with
limited cross-modality data in remote sensing. A large amount of multi-modal
earth observation images, such as multispectral imagery (MSI) or synthetic
aperture radar (SAR) data, are openly available on a global scale, enabling
parsing global urban scenes through remote sensing imagery. However, their
ability in identifying materials (pixel-wise classification) remains limited,
due to the noisy collection environment and poor discriminative information as
well as limited number of well-annotated training images. To this end, we
propose a novel cross-modal deep-learning framework, called X-ModalNet, with
three well-designed modules: self-adversarial module, interactive learning
module, and label propagation module, by learning to transfer more
discriminative information from a small-scale hyperspectral image (HSI) into
the classification task using a large-scale MSI or SAR data. Significantly,
X-ModalNet generalizes well, owing to propagating labels on an updatable graph
constructed by high-level features on the top of the network, yielding
semi-supervised cross-modality learning. We evaluate X-ModalNet on two
multi-modal remote sensing datasets (HSI-MSI and HSI-SAR) and achieve a
significant improvement in comparison with several state-of-the-art methods.
","Danfeng Hong, Naoto Yokoya, Gui-Song Xia, Jocelyn Chanussot, Xiao Xiang Zhu",Xiao Xiang Zhu,2020-06-24T15:29:41Z
DeepTensor: Low-Rank Tensor Decomposition with Deep Network Priors,"  DeepTensor is a computationally efficient framework for low-rank
decomposition of matrices and tensors using deep generative networks. We
decompose a tensor as the product of low-rank tensor factors (e.g., a matrix as
the outer product of two vectors), where each low-rank tensor is generated by a
deep network (DN) that is trained in a self-supervised manner to minimize the
mean-squared approximation error. Our key observation is that the implicit
regularization inherent in DNs enables them to capture nonlinear signal
structures (e.g., manifolds) that are out of the reach of classical linear
methods like the singular value decomposition (SVD) and principal component
analysis (PCA). Furthermore, in contrast to the SVD and PCA, whose performance
deteriorates when the tensor's entries deviate from additive white Gaussian
noise, we demonstrate that the performance of DeepTensor is robust to a wide
range of distributions. We validate that DeepTensor is a robust and
computationally efficient drop-in replacement for the SVD, PCA, nonnegative
matrix factorization (NMF), and similar decompositions by exploring a range of
real-world applications, including hyperspectral image denoising, 3D MRI
tomography, and image classification. In particular, DeepTensor offers a 6dB
signal-to-noise ratio improvement over standard denoising methods for signals
corrupted by Poisson noise and learns to decompose 3D tensors 60 times faster
than a single DN equipped with 3D convolutions.
","Vishwanath Saragadam, Randall Balestriero, Ashok Veeraraghavan, Richard G. Baraniuk",Richard G. Baraniuk,2022-04-07T01:09:58Z
"A3CLNN: Spatial, Spectral and Multiscale Attention ConvLSTM Neural
  Network for Multisource Remote Sensing Data Classification","  The problem of effectively exploiting the information multiple data sources
has become a relevant but challenging research topic in remote sensing. In this
paper, we propose a new approach to exploit the complementarity of two data
sources: hyperspectral images (HSIs) and light detection and ranging (LiDAR)
data. Specifically, we develop a new dual-channel spatial, spectral and
multiscale attention convolutional long short-term memory neural network
(called dual-channel A3CLNN) for feature extraction and classification of
multisource remote sensing data. Spatial, spectral and multiscale attention
mechanisms are first designed for HSI and LiDAR data in order to learn
spectral- and spatial-enhanced feature representations, and to represent
multiscale information for different classes. In the designed fusion network, a
novel composite attention learning mechanism (combined with a three-level
fusion strategy) is used to fully integrate the features in these two data
sources. Finally, inspired by the idea of transfer learning, a novel stepwise
training strategy is designed to yield a final classification result. Our
experimental results, conducted on several multisource remote sensing data
sets, demonstrate that the newly proposed dual-channel A3CLNN exhibits better
feature representation ability (leading to more competitive classification
performance) than other state-of-the-art methods.
","Heng-Chao Li, Wen-Shuai Hu, Wei Li, Jun Li, Qian Du, Antonio Plaza",Antonio Plaza,2022-04-09T12:43:32Z
"MST++: Multi-stage Spectral-wise Transformer for Efficient Spectral
  Reconstruction","  Existing leading methods for spectral reconstruction (SR) focus on designing
deeper or wider convolutional neural networks (CNNs) to learn the end-to-end
mapping from the RGB image to its hyperspectral image (HSI). These CNN-based
methods achieve impressive restoration performance while showing limitations in
capturing the long-range dependencies and self-similarity prior. To cope with
this problem, we propose a novel Transformer-based method, Multi-stage
Spectral-wise Transformer (MST++), for efficient spectral reconstruction. In
particular, we employ Spectral-wise Multi-head Self-attention (S-MSA) that is
based on the HSI spatially sparse while spectrally self-similar nature to
compose the basic unit, Spectral-wise Attention Block (SAB). Then SABs build up
Single-stage Spectral-wise Transformer (SST) that exploits a U-shaped structure
to extract multi-resolution contextual information. Finally, our MST++,
cascaded by several SSTs, progressively improves the reconstruction quality
from coarse to fine. Comprehensive experiments show that our MST++
significantly outperforms other state-of-the-art methods. In the NTIRE 2022
Spectral Reconstruction Challenge, our approach won the First place. Code and
pre-trained models are publicly available at
https://github.com/caiyuanhao1998/MST-plus-plus.
","Yuanhao Cai, Jing Lin, Zudi Lin, Haoqian Wang, Yulun Zhang, Hanspeter Pfister, Radu Timofte, Luc Van Gool",Luc Van Gool,2022-04-17T02:39:32Z
"Unmixing urban hyperspectral imagery with a Gaussian mixture model on
  endmember variability","  In this paper, we model a pixel as a linear combination of endmembers sampled
from probability distributions of Gaussian mixture models (GMM). The parameters
of the GMM distributions are estimated using spectral libraries. Abundances are
estimated based on the distribution parameters. The advantage of this algorithm
is that the model size grows very slowly as a function of the library size. To
validate this method, we used data collected by the AVIRIS sensor over the
Santa Barbara region: two 16 m spatial resolution and two 4 m spatial
resolution images. 64 validated regions of interest (ROI) (180 m by 180 m) were
used to assess estimate accuracy. Ground truth was obtained using 1 m images
leading to the following 6 classes: turfgrass, non-photosynthetic vegetation
(NPV), paved, roof, soil, and tree. Spectral libraries were built by manually
identifying and extracting pure spectra from both resolution images, resulting
in 3,287 spectra at 16 m and 15,426 spectra at 4 m. We then unmixed ROIs of
each resolution using the following unmixing algorithms: the set-based
algorithms MESMA and AAM, and the distribution-based algorithms GMM, NCM, and
BCM. The original libraries were used for the distribution-based algorithms
whereas set-based methods required a sophisticated reduction method, resulting
in reduced libraries of 61 spectra at 16 m and 95 spectra at 4 m. The results
show that GMM performs best among the distribution-based methods, producing
comparable accuracy to MESMA, and may be more robust across datasets.
","Yuan Zhou, Erin B. Wetherley, Paul D. Gader",Paul D. Gader,2018-01-25T18:22:22Z
"Three dimensional Deep Learning approach for remote sensing image
  classification","  Recently, a variety of approaches has been enriching the field of Remote
Sensing (RS) image processing and analysis. Unfortunately, existing methods
remain limited faced to the rich spatio-spectral content of today's large
datasets. It would seem intriguing to resort to Deep Learning (DL) based
approaches at this stage with regards to their ability to offer accurate
semantic interpretation of the data. However, the specificity introduced by the
coexistence of spectral and spatial content in the RS datasets widens the scope
of the challenges presented to adapt DL methods to these contexts. Therefore,
the aim of this paper is firstly to explore the performance of DL architectures
for the RS hyperspectral dataset classification and secondly to introduce a new
three-dimensional DL approach that enables a joint spectral and spatial
information process. A set of three-dimensional schemes is proposed and
evaluated. Experimental results based on well knownhyperspectral datasets
demonstrate that the proposed method is able to achieve a better classification
rate than state of the art methods with lower computational costs.
","Amina Ben Hamida, A Benoit, Patrick Lambert, Chokri Ben Amar",Chokri Ben Amar,2018-06-15T06:35:47Z
Cumulo: A Dataset for Learning Cloud Classes,"  One of the greatest sources of uncertainty in future climate projections
comes from limitations in modelling clouds and in understanding how different
cloud types interact with the climate system. A key first step in reducing this
uncertainty is to accurately classify cloud types at high spatial and temporal
resolution. In this paper, we introduce Cumulo, a benchmark dataset for
training and evaluating global cloud classification models. It consists of one
year of 1km resolution MODIS hyperspectral imagery merged with pixel-width
'tracks' of CloudSat cloud labels. Bringing these complementary datasets
together is a crucial first step, enabling the Machine-Learning community to
develop innovative new techniques which could greatly benefit the Climate
community. To showcase Cumulo, we provide baseline performance analysis using
an invertible flow generative model (IResNet), which further allows us to
discover new sub-classes for a given cloud class by exploring the latent space.
To compare methods, we introduce a set of evaluation criteria, to identify
models that are not only accurate, but also physically-realistic. CUMULO can be
download from
https://www.dropbox.com/sh/i3s9q2v2jjyk2it/AACxXnXfMF5wuIqLXqH4NJOra?dl=0 .
","Valentina Zantedeschi, Fabrizio Falasca, Alyson Douglas, Richard Strange, Matt J. Kusner, Duncan Watson-Parris",Duncan Watson-Parris,2019-11-05T09:36:16Z
